frame,droplet_count,ligament_count,main_ligament_count,uncertain_count,main_region_area,total_detected_area,avg_droplet_diameter,avg_ligament_aspect_ratio,avg_ligament_length
259,70,11,2,10,18262.5,23170.5,5.501964577845753,2.0799912711155755,9.0
260,67,8,2,12,18236.0,22880.5,5.515444127964358,2.497231101679702,12.375
261,74,10,2,8,14051.5,19298.0,5.51431166745835,2.4824646664210617,15.7
262,71,16,1,8,9704.5,19181.0,5.432157178613055,2.3119862670247175,45.0
263,76,13,1,4,10688.5,19244.5,5.475619866103901,2.3878269765109335,44.69230769230769
264,75,14,1,4,9273.0,18974.0,5.349229165924885,2.5442758802083008,58.214285714285715
265,69,14,1,6,9479.5,18522.5,5.935189458555076,2.233646485388313,49.714285714285715
266,73,16,1,3,10546.5,18778.0,5.984276354661348,2.3141494450707514,38.5625
267,73,13,1,4,11807.5,19026.0,5.8771852126357675,2.642478234000786,33.0
268,66,11,1,3,12419.0,19031.5,6.207208824214068,2.109616515077778,31.727272727272727
269,70,11,1,2,12409.0,18864.0,6.021428405325317,2.17905602668075,31.90909090909091
270,70,12,0,5,0,6309.5,5.885809701833745,1.9162606971721368,23.416666666666668
271,75,11,1,6,9546.5,18750.0,5.490266908304371,2.5024469702061802,23.454545454545453
272,77,9,1,7,10409.0,19071.0,5.863807702467146,2.4450474576367345,26.0
273,74,8,1,6,9704.5,18166.0,5.953447364790554,2.0162253328954516,26.125
274,75,9,1,3,9830.0,19416.5,6.05802887414311,2.502528521208792,28.22222222222222
275,72,8,1,3,9729.0,19121.5,6.3270951376250535,1.8771243354074718,23.75
276,70,8,1,1,9518.5,19020.5,6.449688506999623,2.010984128235856,93.0
277,71,8,1,4,9459.5,18882.0,6.035725979646032,1.741275019068674,34.0
278,71,7,1,6,9517.0,18728.0,5.7810745322087636,1.9704179232497456,46.57142857142857
279,68,10,1,4,9696.5,18906.5,6.003160539442896,2.153462216073925,29.2
280,62,9,1,7,10358.0,19327.0,6.202504171300873,2.539702317842278,29.0
281,65,12,1,4,8900.5,17671.5,5.6351032201041,2.3558869545528975,22.833333333333332
282,66,12,1,7,8978.0,19161.5,5.501365820600371,2.243713721146855,31.166666666666668
283,66,9,1,7,8938.0,19012.5,5.919515375491197,2.3699399398774865,42.333333333333336
284,73,9,1,8,9143.5,18614.5,5.651985726258875,2.92050785436104,23.77777777777778
285,69,10,1,6,9056.0,18143.5,6.043999174253393,2.6405883824161545,21.9
286,66,11,1,4,9371.5,18370.5,6.482058748274475,2.4914413597696345,16.272727272727273
287,72,7,1,4,9206.5,18020.5,6.21403315399918,2.8582238357656076,15.142857142857142
288,67,13,1,6,9266.5,18591.5,6.231941234785453,2.005204984515062,10.384615384615385
289,72,11,0,4,0,4641.5,5.795492222646378,2.26133436325919,16.0
290,68,12,1,7,13553.5,18054.0,5.799794602956619,2.117057683798203,12.666666666666666
291,64,12,1,6,14419.5,19158.0,6.026236180111333,2.7033193057368976,22.25
292,63,11,1,7,14188.5,18885.0,6.0514356579989546,2.8791093284793012,23.727272727272727
293,65,14,1,6,14205.0,19384.0,5.844205955193903,2.852760474287584,21.142857142857142
294,65,14,1,8,14290.0,19642.5,6.154538294840877,2.620894254429745,24.5
295,67,16,1,7,13885.0,19528.5,6.078238622966458,2.6949734924051634,23.4375
296,67,15,1,4,13824.0,19417.5,6.0999749508611,2.4209172288317937,22.533333333333335
297,67,12,1,6,14207.0,19834.0,6.132136248309764,2.2494514094889086,30.0
298,65,15,1,7,13950.5,19372.5,6.250983257831514,2.5404660972866555,25.666666666666668
299,64,17,1,12,14584.5,19633.0,6.201002660444723,2.4752814683242392,16.176470588235293
300,66,16,1,4,15328.0,19884.0,5.810855250186179,2.395155180158085,15.0625
301,58,21,1,7,15671.5,20279.0,5.576396933097348,2.2767363901986366,13.380952380952381
302,56,18,1,8,20600.0,25828.0,5.782010036526963,3.0037870772815456,23.944444444444443
303,63,18,1,6,20938.5,26493.0,5.978541145834489,3.0137179507048506,16.38888888888889
304,69,12,1,2,23195.5,27329.5,5.880566076032712,2.716958816082595,18.583333333333332
305,65,15,1,4,24086.5,28343.5,5.947402276176076,2.5698378006764955,14.733333333333333
306,64,12,1,5,23927.0,27743.5,5.879650426940093,2.4593016159306478,13.833333333333334
307,59,14,1,5,25276.0,28855.0,5.972047169342266,2.246880519167796,11.142857142857142
308,59,14,1,6,29927.5,33278.0,5.4585575287630785,2.5479618210690846,13.642857142857142
309,59,14,1,8,29485.0,32813.0,5.481441435641955,2.277580004130594,12.214285714285714
310,61,15,1,7,18239.0,22410.5,5.308549036156914,2.339055410335043,15.2
311,59,13,0,6,0,3537.5,5.310864568743021,2.600036566406102,14.615384615384615
312,58,10,1,6,19671.5,23111.5,5.590851713652446,2.028969450984086,17.1
313,50,10,1,6,19302.5,22819.5,5.974444113451951,2.5357996009255124,17.2
314,57,11,1,6,19412.0,23047.5,5.652815544156595,2.1329486870688594,13.727272727272727
315,58,8,1,9,19341.0,22993.0,5.741950470310816,2.0962121411091825,9.75
316,59,8,1,7,17732.5,21317.0,5.551428674169699,2.071381214071322,11.375
317,64,11,1,6,18767.5,22543.5,5.538730064155225,1.9315954946658906,9.272727272727273
